UPC	Description	Category	Sub-Category	Brand	Beverage Type	Volume	Volume UOM	Manufacturer	Category Image	Sub Category Image	Brand Image	UPC Image	Carton Number	Carton Quantity
00686834021	Sauza Conmemorativo	Liquor	Tequila	Sauza Conmemorativo	Well	750.0	ML	Sauza	start-event.png	Tequila.jpg				12
0072311130011	"Moosehead Pilsner Urquell, 12oz bottle"	Beer	Pilsner	Moosehead Pilsner	Well	12.0	oz	Moosehead Breweries						24
0072311630016	"Moosehead Pilsner Urquell, 12oz can"	Beer	Pilsner	Moosehead Pilsner	Well	12.0	oz	Moosehead Breweries						24
008048002543	Bacardi Gold	Liquor	Rum	Bacardi Gold	Premium	750.0	ML	Bacardi	start-event.png	Rum.jpg				12
008068683533	Sauza Hornitos Plata	Liquor	Tequila	Sauza Hornitos Plata	Well	1000.0	ML	Sauza	start-event.png	Tequila.jpg				12
0081584013082	"Kendall-Jackson Grand Reserve 2003 Chardonnay, 750ml"	Wine	Chardonnay	Kendall-Jackson Premium Chardonnay	Premium	750.0	ML	Kendall-Jackson						12
0081584013084	"Kendall-Jackson Grand Reserve 2003 Chardonnay, 1.5L"	Wine	Chardonnay	Kendall-Jackson Premium Chardonnay	Premium	1500.0	ML	Kendall-Jackson						12
0081584013112	"Kendall-Jackson Central Valley Chardonnay, 750ml"	Wine	Chardonnay	Kendall-Jackson Chardonnay	Premium	750.0	ML	Kendall-Jackson						12
0081584013114	"Kendall-Jackson Central Valley Chardonnay, 1.5L"	Wine	Chardonnay	Kendall-Jackson Chardonnay	Premium	1500.0	ML	Kendall-Jackson						12
0081584013151	"Kendall-Jackson Coastal Chardonnay, 750ml"	Wine	Chardonnay	Kendall-Jackson Chardonnay	Premium	750.0	ML	Kendall-Jackson						12
0081584013153	"Kendall-Jackson Coastal Chardonnay, 1.5L"	Wine	Chardonnay	Kendall-Jackson Chardonnay	Premium	1500.0	ML	Kendall-Jackson						12
0081584013218	"Kendall-Jackson Vintner's Reserve Chardonnay 07, 750ml"	Wine	Chardonnay	Kendall-Jackson Premium Chardonnay	Premium	750.0	ML	Kendall-Jackson						12
0081584013219	"Kendall-Jackson Vintner's Reserve Chardonnay 07, 1.5L"	Wine	Chardonnay	Kendall-Jackson Premium Chardonnay	Premium	1500.0	ML	Kendall-Jackson						12
0083820104035	"Guinness Draught, 11.2oz bottle"	Beer	Stout	Guinness Stout	Well	11.2	oz	Guinness						24
0083820123708	"Guinness Draught, 14.9oz can"	Beer	Stout	Guinness Stout	Well	14.9	oz	Guinness						24
