Organization,Ingredient Name,category,sub-category,beverage type
Marriott,100-Proof Vodka,liquor,vodka,well
Marriott,151-Proof Rum,liquor,rum,well
Marriott,Advocaat,liquor,Cordial/Liqueur,well
Marriott,Amaretto ,liquor,Cordial/Liqueur,well
Marriott,Amer Picon,liquor,Apertif/Digestif,well
Marriott,Amontillado Sherry,liquor,Brandy/Sherry,well
Marriott,Anis,liquor,Cordial/Liqueur,well
Marriott,Anisette,liquor,Cordial/Liqueur,well
Marriott,Apple Brandy,liquor,Brandy/Sherry,well
Marriott,Apple Schnapps,liquor,Schnapps/Calvados,well
Marriott,Applejack,liquor,Brandy/Sherry,well
Marriott,Apricot Flavored brandy,liquor,Brandy/Sherry,well
Marriott,Bacardi Rum,liquor,rum,well
Marriott,Beer,beer,pale ale,well
Marriott,Benedictine,liquor,Cordial/Liqueur,well
Marriott,Blackberry Flavored Brandy,liquor,Brandy/Sherry,well
Marriott,Blended Whiskey,liquor,Whiskey/Bourbon,well
Marriott,Blended Whiskey P,liquor,Whiskey/Bourbon,premium
Marriott,Blended Whiskey SP,liquor,Whiskey/Bourbon,super premium
Marriott,Blueberry,liquor,Cordial/Liqueur,well
Marriott,Blue Curacao,liquor,Cordial/Liqueur,well
Marriott,Bourbon,liquor,Bourbon,well
Marriott,Bourbon P,liquor,Bourbon,well
Marriott,Bourbon SP,liquor,Bourbon,well
Marriott,Brandy,liquor,Brandy/Sherry,well
Marriott,Brandy P,liquor,Brandy/Sherry,premium
Marriott,Brandy SP,liquor,Brandy/Sherry,super premium
Marriott,Buttershots,liquor,Cordial/Liqueur,well
Marriott,Campari,liquor,Apertif/Digestif,well
Marriott,Canadian Whisky,liquor,Whiskey/Bourbon,well
Marriott,Canadian Whisky P,liquor,Whiskey/Bourbon,premium
Marriott,Canadian Whisky SP,liquor,Whiskey/Bourbon,super premium
Marriott,Champagne,wine,Sparkling Wine/Champagne,premium
Marriott,Chartreuse (Green),liquor,Cordial/Liqueur,well
Marriott,Chartreuse (Yellow),liquor,Cordial/Liqueur,well
Marriott,Cherry Vodka,liquor,vodka,well
Marriott,Cherry Flavored Brandy,liquor,Brandy/Sherry,well
Marriott,Chilled Champagne,wine,Sparkling Wine/Champagne,premium
Marriott,Chilled Stout,beer,pale ale,well
Marriott,Chilled White Wine,wine,White Non Varietal,premium
Marriott,Cinnamon Schnapps,liquor,Schnapps/Calvados,well
Marriott,Claret,wine,Port,premium
Marriott,Coconut Liqueur,liquor,Cordial/Liqueur,well
Marriott,Coffee Flavored Liqueur,liquor,Cordial/Liqueur,well
Marriott,Cognac,liquor,Cognac & Armagnac,well
Marriott,Cognac P,liquor,Cognac & Armagnac,premium
Marriott,Cognac SP,liquor,Cognac & Armagnac,super premium
Marriott,Cream of Coconut,liquor,Cordial/Liqueur,well
Marriott,Cream Sherry,liquor,Cordial/Liqueur,well
Marriott,Creme De Banana,liquor,Cordial/Liqueur,well
Marriott,Creme de Cacao,liquor,Cordial/Liqueur,well
Marriott,Creme de Cacao (White),liquor,Cordial/Liqueur,well
Marriott,Creme de Cacao (Brown),liquor,Cordial/Liqueur,well
Marriott,Creme de Cassis,liquor,Cordial/Liqueur,well
Marriott,Creme De Menthe (Green),liquor,Cordial/Liqueur,well
Marriott,Creme de Menthe (White),liquor,Cordial/Liqueur,well
Marriott,Creme de Noyaux,liquor,Cordial/Liqueur,well
Marriott,Curacao,liquor,Cordial/Liqueur,well
Marriott,Curacao (White),liquor,Cordial/Liqueur,well
Marriott,Danish Cherry Wine,liquor,Brandy/Sherry,well
Marriott,Dark Rum,liquor,Rum,well
Marriott,Dark Rum P,liquor,Rum,premium
Marriott,Dark Rum SP,liquor,Rum,super premium
Marriott,Drambuie,liquor,Cordial/Liqueur,well
Marriott,Dry Gin,liquor,gin,well
Marriott,Dry Gin P,liquor,gin,premium
Marriott,Dry Gin SP,liquor,gin,super premium
Marriott,Dry Orange Curacao,liquor,Cordial/Liqueur,well
Marriott,Dry Sherry,liquor,Brandy/Sherry,well
Marriott,Dry Vermouth,liquor,vermouth,well
Marriott,Dubonnet,liquor,Apertif/Digestif,well
Marriott,Forbidden Fruit,liquor,Cordial/Liqueur,well
Marriott,Galliano,liquor,Cordial/Liqueur,well
Marriott,Gin,liquor,gin,well
Marriott,Hot Shot Tropical Fruit Liqueur,liquor,Cordial/Liqueur,well
Marriott,Irish Whiskey,liquor,Whiskey/Bourbon,well
Marriott,Irish Whiskey P,liquor,Whiskey/Bourbon,premium
Marriott,Irish Whiskey SP,liquor,Whiskey/Bourbon,super premium
Marriott,Jamaica Light Rum,liquor,Rum,well
Marriott,Jamaica Light Rum P,liquor,Rum,premium
Marriott,Jamaica Light Rum SP,liquor,Rum,super premium
Marriott,Jamaica Rum,liquor,rum,well
Marriott,Jamaica Rum P,liquor,rum,premium
Marriott,Jamaica Rum SP,liquor,rum,super premium
Marriott,Kirschwasser,liquor,Schnapps/Calvados,well
Marriott,Kiwi,liquor,Cordial/Liqueur,well
Marriott,Kummel,liquor,Cordial/Liqueur,well
Marriott,Lemon Vodka,liquor,Vodka,well
Marriott,Light Rum,liquor,rum,well
Marriott,Light Rum P,liquor,rum,premium
Marriott,Light Rum SP,liquor,rum,super premium
Marriott,Light Vermouth,liquor,vermouth,well
Marriott,Lime Liqueur,liquor,Cordial/Liqueur,well
Marriott,Lime Vodka,liquor,vodka,well
Marriott,Madeira,wine,Port,premium
Marriott,Mandarine Napoleon Liqueur,liquor,Cordial/Liqueur,well
Marriott,Mango,liquor,Cordial/Liqueur,well
Marriott,Maraschino,liquor,Cordial/Liqueur,well
Marriott,Melon Liqueur,liquor,Cordial/Liqueur,well
Marriott,Mint-Flavored Gin,liquor,gin,well
Marriott,Muscatel,wine,Red Non Varietal,premium
Marriott,Orange-Flavored Gin,liquor,gin,well
Marriott,Passion Fruit,liquor,Cordial/Liqueur,well
Marriott,Peach Schnapps,liquor,Schnapps/Calvados,well
Marriott,Peach Flavored Brandy,liquor,Brandy/Sherry,well
Marriott,Peppermint Green,liquor,Cordial/Liqueur,well
Marriott,Peppermint White,liquor,Cordial/Liqueur,well
Marriott,Peppermint Schnapps,liquor,Schnapps/Calvados,well
Marriott,Pomegranate,liquor,Cordial/Liqueur,well
Marriott,Port,wine,Port,premium
Marriott,Red wine,wine,Red Non Varietal,premium
Marriott,Rock & Rye,liquor,Cordial/Liqueur,well
Marriott,Rum,liquor,Rum,well
Marriott,Rye Whiskey,liquor,Whiskey/Bourbon,well
Marriott,Rye Whiskey P,liquor,Whiskey/Bourbon,premium
